"","Plot","Herbivory","Coral_Id","Coral","percent_bleached","percent_dead","Date","Nutrients","catcat"
"101","D2","3x3","P5","Pver",0,0,"Jul18","Ambient","Jul18_P5"
"102","D2","3x3","P9","Pver",0,5,"Jul18","Ambient","Jul18_P9"
"103","D2","open","P12","Pver",0,0,"Jul18","Ambient","Jul18_P12"
"104","D2","open","P13","Pver",0,0,"Jul18","Ambient","Jul18_P13"
"105","D2","open","P15","Pver",0,0,"Jul18","Ambient","Jul18_P15"
"106","D4","1x1","A1","Acr",0,0,"Jul18","Nutrient","Jul18_A1"
"107","D4","1x1","A2","Acr",0,0,"Jul18","Nutrient","Jul18_A2"
"108","D4","1x1","A3","Acr",0,0,"Jul18","Nutrient","Jul18_A3"
"109","D4","1x1","A4","Acr",0,0,"Jul18","Nutrient","Jul18_A4"
"110","D4","1x1","P16","Pver",0,0,"Jul18","Nutrient","Jul18_P16"
"111","D4","1x1","P5","Pver",0,0,"Jul18","Nutrient","Jul18_P5"
"112","D4","1x1","P7","Pver",0,3,"Jul18","Nutrient","Jul18_P7"
"113","D4","2x2","A1","Acr",0,0,"Jul18","Nutrient","Jul18_A1"
"114","D4","2x2","P11","Pver",0,0,"Jul18","Nutrient","Jul18_P11"
"115","D4","2x2","P5","Pver",0,0,"Jul18","Nutrient","Jul18_P5"
"116","D4","2x2","P6","Pver",0,0,"Jul18","Nutrient","Jul18_P6"
"117","D4","3x3","A3","Acr",0,0,"Jul18","Nutrient","Jul18_A3"
"118","D4","3x3","A4","Acr",0,0,"Jul18","Nutrient","Jul18_A4"
"119","D4","3x3","A5","Acr",0,0,"Jul18","Nutrient","Jul18_A5"
"120","D4","3x3","P20","Pver",0,0,"Jul18","Nutrient","Jul18_P20"
"121","D4","3x3","P30","Pver",0,0,"Jul18","Nutrient","Jul18_P30"
"122","D4","3x3","P8","Pver",0,0,"Jul18","Nutrient","Jul18_P8"
"123","D4","open","A1","Acr",0,0,"Jul18","Nutrient","Jul18_A1"
"124","D4","open","P23","Pver",0,0,"Jul18","Nutrient","Jul18_P23"
"125","D4","open","P5","Pver",0,0,"Jul18","Nutrient","Jul18_P5"
"126","D4","open","P6","Pver",0,0,"Jul18","Nutrient","Jul18_P6"
"127","A1","1x1","A5","Acr",0,0,"Nov18","Ambient","Nov18_A5"
"128","A1","1x1","P11","Pver",0,0,"Nov18","Ambient","Nov18_P11"
"129","A1","1x1","P16","Pver",0,0,"Nov18","Ambient","Nov18_P16"
"130","A1","1x1","P9","Pver",0,0,"Nov18","Ambient","Nov18_P9"
"131","A1","2x2","P13","Pver",0,0,"Nov18","Ambient","Nov18_P13"
"132","A1","2x2","P8","Pver",0,0,"Nov18","Ambient","Nov18_P8"
"133","A1","3x3","A3","Acr",0,0,"Nov18","Ambient","Nov18_A3"
"134","A1","3x3","A4","Acr",0,0,"Nov18","Ambient","Nov18_A4"
"135","A1","3x3","P12","Pver",0,0,"Nov18","Ambient","Nov18_P12"
"136","A1","3x3","P8","Pver",0,0,"Nov18","Ambient","Nov18_P8"
"137","A1","3x3","P9","Pver",0,0,"Nov18","Ambient","Nov18_P9"
"138","A1","open","A1","Acr",0,0,"Nov18","Ambient","Nov18_A1"
"139","A1","open","P12","Pver",0,0,"Nov18","Ambient","Nov18_P12"
"140","A1","open","P8","Pver",0,0,"Nov18","Ambient","Nov18_P8"
"141","A2","1x1","A2","Acr",0,0,"Nov18","Nutrient","Nov18_A2"
"142","A2","1x1","P11","Pver",0,0,"Nov18","Nutrient","Nov18_P11"
