Plot,Herbivory,Coral_Id,Coral,percent_bleached,percent_dead,Date,Nutrients,catcat
D4,2x2,P6,Pver,0,0, Nov18,Nutrient,Nov18_P6
D4,3x3,A3,Acr,0,0, Nov18,Nutrient,Nov18_A3
D4,3x3,A4,Acr,0,0, Nov18,Nutrient,Nov18_A4
D4,3x3,A5,Acr,0,0, Nov18,Nutrient,Nov18_A5
D4,3x3,P20,Pver,0,0, Nov18,Nutrient,Nov18_P20
D4,3x3,P30,Pver,0,0, Nov18,Nutrient,Nov18_P30
D4,3x3,P8,Pver,0,0, Nov18,Nutrient,Nov18_P8
D4,open,A1,Acr,0,0, Nov18,Nutrient,Nov18_A1
D4,open,P23,Pver,0,0, Nov18,Nutrient,Nov18_P23
D4,open,P5,Pver,0,0, Nov18,Nutrient,Nov18_P5
D4,open,P6,Pver,0,0, Nov18,Nutrient,Nov18_P6
A1,1x1,A5,Acr,0,0, Mar19,Ambient,Mar19_A5
A1,1x1,P11,Pver,0,0, Mar19,Ambient,Mar19_P11
A1,1x1,P16,Pver,0,0, Mar19,Ambient,Mar19_P16
A1,1x1,P9,Pver,0,0, Mar19,Ambient,Mar19_P9
A1,2x2,P13,Pver,0,0, Mar19,Ambient,Mar19_P13
A1,2x2,P8,Pver,0,0, Mar19,Ambient,Mar19_P8
A1,3x3,A3,Acr,20,0, Mar19,Ambient,Mar19_A3
A1,3x3,A4,Acr,5,0, Mar19,Ambient,Mar19_A4
A1,3x3,P12,Pver,0,0, Mar19,Ambient,Mar19_P12
A1,3x3,P8,Pver,0,0, Mar19,Ambient,Mar19_P8
A1,3x3,P9,Pver,0,0, Mar19,Ambient,Mar19_P9
A1,open,A1,Acr,95,2, Mar19,Ambient,Mar19_A1
A1,open,A2,Acr,0,0, Mar19,Ambient,Mar19_A2
A1,open,A3,Acr,10,0, Mar19,Ambient,Mar19_A3
A1,open,P12,Pver,0,0, Mar19,Ambient,Mar19_P12
A1,open,P8,Pver,0,0, Mar19,Ambient,Mar19_P8
A2,1x1,A2,Acr,0,0, Mar19,Nutrient,Mar19_A2
A2,1x1,P11,Pver,0,0, Mar19,Nutrient,Mar19_P11
A2,1x1,P17,Pver,0,0, Mar19,Nutrient,Mar19_P17
A2,1x1,P22,Pver,0,0, Mar19,Nutrient,Mar19_P22
A2,2x2,A3,Acr,0,0, Mar19,Nutrient,Mar19_A3
A2,2x2,P24,Pver,0,0, Mar19,Nutrient,Mar19_P24
A2,2x2,P9,Pver,0,0, Mar19,Nutrient,Mar19_P9
A2,3x3,A2,Acr,0,0, Mar19,Nutrient,Mar19_A2
A2,3x3,P20,Pver,0,0, Mar19,Nutrient,Mar19_P20
A2,3x3,P25,Pver,0,5, Mar19,Nutrient,Mar19_P25
A2,3x3,P6,Pver,0,0, Mar19,Nutrient,Mar19_P6
A2,open,A1,Acr,60,0, Mar19,Nutrient,Mar19_A1
A2,open,A2,Acr,0,0, Mar19,Nutrient,Mar19_A2
A2,open,P1,Pver,0,0, Mar19,Nutrient,Mar19_P1
A2,open,P19,Pver,0,0, Mar19,Nutrient,Mar19_P19
A2,open,P5,Pver,0,0, Mar19,Nutrient,Mar19_P5
B3,1x1,A3,Acr,0,0, Mar19,Nutrient,Mar19_A3
B3,1x1,P11,Pver,0,0, Mar19,Nutrient,Mar19_P11
B3,1x1,P13,Pver,0,20, Mar19,Nutrient,Mar19_P13
B3,1x1,P20,Pver,0,0, Mar19,Nutrient,Mar19_P20
B3,1x1,P21,Pver,0,0, Mar19,Nutrient,Mar19_P21
B3,1x1,P23,Pver,0,0, Mar19,Nutrient,Mar19_P23
B3,2x2,A1,Acr,10,0, Mar19,Nutrient,Mar19_A1
B3,2x2,P1,Pver,0,0, Mar19,Nutrient,Mar19_P1
B3,3x3,A2,Acr,0,0, Mar19,Nutrient,Mar19_A2
B3,3x3,A3,Acr,20,0, Mar19,Nutrient,Mar19_A3
B3,3x3,P2,Pver,0,0, Mar19,Nutrient,Mar19_P2
B3,3x3,P9,Pver,0,0, Mar19,Nutrient,Mar19_P9
B3,open,A1,Acr,10,0, Mar19,Nutrient,Mar19_A1
B3,open,P10,Pver,0,0, Mar19,Nutrient,Mar19_P10
B3,open,P21,Pver,0,0, Mar19,Nutrient,Mar19_P21
B3,open,P28,Pver,0,0, Mar19,Nutrient,Mar19_P28
B3,open,P5,Pver,0,0, Mar19,Nutrient,Mar19_P5
B4,1x1,A1,Acr,0,0, Mar19,Ambient,Mar19_A1
B4,1x1,P11,Pver,0,0, Mar19,Ambient,Mar19_P11
